business_date,country_name,currency_code,exchange_rate
24/01/2023,Afghanistan,AFN,88.9231
24/01/2023,Albania,ALL,106.895
24/01/2023,Algeria,DZD,135.9323
24/01/2023,Angola,AOA,509.87
24/01/2023,Argentina,ARA,184.69875
24/01/2023,Argentina,ARS,184.69875
24/01/2023,Armenia,AMD,395.625
24/01/2023,Aruba,AWG,1.79
24/01/2023,Australia,AUD,1.4185403
24/01/2023,Austria,ATS,12.65255
24/01/2023,Azerbaijan,AZN,1.7025
24/01/2023,Bahamas,BSD,1
24/01/2023,Bahrain,BHD,0.377
24/01/2023,Bangladesh,BDT,ERR!
24/01/2023,Barbados,BBD,2
24/01/2023,Belarus,BYN,2.51
24/01/2023,Belgium,BEL,37.09245
24/01/2023,Belgium,BEF,37.09245
24/01/2023,Belize,BZD,2
24/01/2023,Bermuda,BMD,1
24/01/2023,Bhutan,BTN,81.715
24/01/2023,Bolivia,BOB,6.91
24/01/2023,Bosnia And Herzegovina,BAM,1.79835
24/01/2023,Botswana,BWP,12.8122998
24/01/2023,Brazil,BRL,5.1581
24/01/2023,Bulgaria,BGN,1.7983
24/01/2023,Burundi,BIF,2055
24/01/2023,Canada,CAD,1.33595
24/01/2023,Cape Verde,CVE,101.85185
24/01/2023,Cayman Islands,KYD,0.82
24/01/2023,Central French African Region,XAF,603.1511
24/01/2023,Central French African Region Bceao,XOF,603.1511
24/01/2023,Chile,CLP,800.425
24/01/2023,Chile,CLF,0.0226984
24/01/2023,China,CNY,6.7755
24/01/2023,China,CNH,6.78405
24/01/2023,Colombia,COP,4545.55
24/01/2023,Comoros,KMF,452.36335
24/01/2023,Costa Rica,CRC,564.07
24/01/2023,Croatia,HRK,6.92795
24/01/2023,Cyprus,CYP,0.53815
24/01/2023,Czech Republic,CZK,21.94565
24/01/2023,Denmark,DKK,6.8401
24/01/2023,Djibouti,DJF,178.0761
24/01/2023,Dominican Republic,DOP,56.6
24/01/2023,East Caribbean Region,XCD,2.7
24/01/2023,Ecuador,ECS,25000
24/01/2023,Egypt,EGP,29.845
24/01/2023,El Salvador,SVC,8.75
24/01/2023,Eritrea,ERN,15.075
24/01/2023,Estonia,EEK,14.387
24/01/2023,Ethiopia,ETB,53.55
24/01/2023,Europe Region,XEU,0.9194979
24/01/2023,European Union,EUR,0.9194979
24/01/2023,Fiji,FJD,2.17975
24/01/2023,Finland,FIM,5.46705
24/01/2023,France,FRF,6.0315
24/01/2023,Gambia,GMD,60.6
24/01/2023,Georgia,GEL,2.645
24/01/2023,Germany,DEM,1.79835
24/01/2023,Ghana,GHS,12.4
24/01/2023,Gibraltar,GIP,0.8120508
24/01/2023,Gold,XAU,0.0005167
24/01/2023,Greece,GRD,313.3189
24/01/2023,Guatemala,GTQ,7.8438
24/01/2023,Guinea,GNF,8608.665
24/01/2023,Haiti,HTG,147.8
24/01/2023,Honduras,HNL,24.7
24/01/2023,Hong Kong,HKD,7.8307
24/01/2023,Hungary,HUF,359.4686
24/01/2023,Iceland,ISK,143.895
24/01/2023,India,INR,81.715
24/01/2023,Indonesia,IDR,14887.5
24/01/2023,Iraq,IQD,1460
24/01/2023,Ireland,IEP,0.7241653
24/01/2023,Israel,ILS,3.36365
24/01/2023,Italy,ITL,1780.39635
24/01/2023,Jamaica,JMD,154.1665
24/01/2023,Japan,JPY,130.1
24/01/2023,Jordan,JOD,0.71005
24/01/2023,Kazakhstan,KZT,461.66
24/01/2023,Kenya,KES,124.3
24/01/2023,"Korea, Democratic People's Republic Of",KPW,130
24/01/2023,"Korea, Republic Of",KRW,1235.45
24/01/2023,Kuwait,KWD,0.30535
24/01/2023,Lao People's Democratic Republic,LAK,16856.715
24/01/2023,Latvia,LVL,0.6462
24/01/2023,Lebanon,LBP,1522
24/01/2023,Lesotho,LSL,17.21
24/01/2023,Liberia,LRD,156.5
24/01/2023,Lithuania,LTL,3.17485
24/01/2023,Luxembourg,LUF,37.09245
24/01/2023,Macau,MOP,8.0656
24/01/2023,Madagascar,MGA,4253.12
24/01/2023,Malawi,MWK,1026.435
24/01/2023,Malaysia,MYR,4.2855
24/01/2023,Maldives,MVR,15.42
24/01/2023,Malta,MTL,0.39475
24/01/2023,Mauritania,MRU,35.97
24/01/2023,Mauritius,MUR,44.3
24/01/2023,Mexico,MXN,18.838
24/01/2023,Mexico,MXV,7.6723
24/01/2023,Moldova,MDL,18.8411
24/01/2023,Mongolia,MNT,3463
24/01/2023,Morocco,MAD,10.1367
24/01/2023,Mozambique,MZN,63.9
24/01/2023,Myanmar,MMK,2100
24/01/2023,Namibia,NAD,17.21
24/01/2023,Nepal,NPR,130.744
24/01/2023,Netherlands,NLG,2.0263
24/01/2023,Netherlands Antilles,ANG,1.79
24/01/2023,New Zealand,NZD,1.53787
24/01/2023,Nicaragua,NIO,36.45
24/01/2023,Nigeria,NGN,460.75
24/01/2023,North America Region,XNY,6.7755
24/01/2023,Norway,NOK,9.86415
24/01/2023,Oman,OMR,0.385
24/01/2023,Pakistan,PKR,230.2
24/01/2023,Palladium Ounce,XPD,1745.825
24/01/2023,Panama,PAB,1
24/01/2023,Papua New Guinea,PGK,3.5243
24/01/2023,Paraguay,PYG,7385.17
24/01/2023,Peru,PEN,3.8847
24/01/2023,Philippines,PHP,54.435
24/01/2023,Platinum,XPT,0.0009442
24/01/2023,Poland,PLN,4.3373
24/01/2023,Portugal,PTE,184.3428
24/01/2023,Qatar,QAR,3.64175
24/01/2023,REPUBLIC OF NORTH MACEDONIA,MKD,56.6
24/01/2023,Romania,RON,4.51885
24/01/2023,Romania,ROL,45188.5
24/01/2023,Russian Federation,RUB,69.05
24/01/2023,Rwanda,RWF,1082
24/01/2023,SDR International Monetary Fund,XDR,0.74095
