business_date,country,currency_code,exchange_rate
25/01/2023,Afghanistan,AFN,88.94515
25/01/2023,Albania,ALL,106.635
25/01/2023,Algeria,DZD,135.8011
25/01/2023,Angola,AOA,511.25
25/01/2023,Argentina,ARA,185.005
25/01/2023,Argentina,ARS,185.005
25/01/2023,Armenia,AMD,395.25
25/01/2023,Aruba,AWG,1.79
25/01/2023,Australia,AUD,1.4125291
25/01/2023,Austria,ATS,12.62125
25/01/2023,Azerbaijan,AZN,1.7025
25/01/2023,Bahamas,BSD,1
25/01/2023,Bahrain,BHD,0.377
25/01/2023,Bangladesh,BDT,ERR!
25/01/2023,Barbados,BBD,2
25/01/2023,Belarus,BYN,2.5
25/01/2023,Belgium,BEL,37.0006
25/01/2023,Belgium,BEF,37.0006
25/01/2023,Belize,BZD,2
25/01/2023,Bermuda,BMD,1
25/01/2023,Bhutan,BTN,81.58875
25/01/2023,Bolivia,BOB,6.91
25/01/2023,Bosnia And Herzegovina,BAM,1.79395
25/01/2023,Botswana,BWP,12.7632418
25/01/2023,Brazil,BRL,5.0743
25/01/2023,Bulgaria,BGN,1.79405
25/01/2023,Burundi,BIF,2073.9749
25/01/2023,Canada,CAD,1.34085
25/01/2023,Cape Verde,CVE,101.7362
25/01/2023,Cayman Islands,KYD,0.82
25/01/2023,Central French African Region,XAF,601.65745
25/01/2023,Central French African Region Bceao,XOF,601.65745
25/01/2023,Chile,CLP,803.775
25/01/2023,Chile,CLF,0.0227592
25/01/2023,China,CNY,6.7755
25/01/2023,China,CNH,6.7768
25/01/2023,Colombia,COP,4543.5
25/01/2023,Comoros,KMF,451.2431
25/01/2023,Costa Rica,CRC,563.635
25/01/2023,Croatia,HRK,6.9108
25/01/2023,Cyprus,CYP,0.53685
25/01/2023,Czech Republic,CZK,21.8234
25/01/2023,Denmark,DKK,6.8229
25/01/2023,Djibouti,DJF,177.9273
25/01/2023,Dominican Republic,DOP,56.68
25/01/2023,East Caribbean Region,XCD,2.7
25/01/2023,Ecuador,ECS,25000
25/01/2023,Egypt,EGP,29.89
25/01/2023,El Salvador,SVC,8.75
25/01/2023,Eritrea,ERN,15.075
25/01/2023,Estonia,EEK,14.3514
25/01/2023,Ethiopia,ETB,53.55
25/01/2023,Europe Region,XEU,0.9172208
25/01/2023,European Union,EUR,0.9172208
25/01/2023,Fiji,FJD,2.17595
25/01/2023,Finland,FIM,5.45355
25/01/2023,France,FRF,6.01655
25/01/2023,Gambia,GMD,60.6
25/01/2023,Georgia,GEL,2.645
25/01/2023,Germany,DEM,1.79395
25/01/2023,Ghana,GHS,12.175
25/01/2023,Gibraltar,GIP,0.8090942
25/01/2023,Gold,XAU,0.0005173
25/01/2023,Greece,GRD,312.543
25/01/2023,Guatemala,GTQ,7.8488
25/01/2023,Guinea,GNF,8608.665
25/01/2023,Haiti,HTG,147.83
25/01/2023,Honduras,HNL,24.7
25/01/2023,Hong Kong,HKD,7.8312
25/01/2023,Hungary,HUF,356.0193
25/01/2023,Iceland,ISK,144.095
25/01/2023,India,INR,81.58875
25/01/2023,Indonesia,IDR,14965
